side,character_code,source_label,gloss,display_category,provenance,enriched_at
Spending,SALARIES,Salaries,"Pay for the City's workforce — police officers, nurses, Muni operators, librarians and everyone else on the payroll.",standard,manual_in_session,2026-07-16
Spending,MAND_FRING_BEN,Mandatory Fringe Benefits,"The employer's share of employee benefits the City is required to fund: pension contributions, health coverage, Social Security and Medicare.",standard,manual_in_session,2026-07-16
Spending,NON_PERS_SVCS,Non-Personnel Services,"Services the City buys rather than staffs: professional services, maintenance contracts, utilities, rent, training, travel.",standard,manual_in_session,2026-07-16
Spending,CITY_GR_PROG,City Grant Program,"Grants the City makes to outside organizations — mostly nonprofits delivering health, housing and social services.",standard,manual_in_session,2026-07-16
Spending,SVCS_OTHER_DEPTS,Services Of Other Depts,"Internal billing: one City department paying another for its work (legal counsel, fleet, IT, real estate). Money that stays inside the City.",standard,manual_in_session,2026-07-16
Spending,DEBT_SERVICE,Debt Service,"Principal and interest payments on bonds and other borrowing.",standard,manual_in_session,2026-07-16
Spending,INTRA_TFR_OUT,Intrafund Transfers Out,"Accounting transfers between accounts inside the same fund — internal money movement, not services delivered. Cancelled citywide by the transfer adjustment.",standard,manual_in_session,2026-07-16
Spending,OPER_TFR_OUT,Transfers Out,"Money moved from one City fund to another (for example General Fund support to Muni). Cancelled citywide by the transfer adjustment.",standard,manual_in_session,2026-07-16
Spending,CAP_OUTLAY,Capital Outlay,"Purchases of physical assets: equipment, vehicles, building improvements, infrastructure.",standard,manual_in_session,2026-07-16
Spending,AID_PMTS,Aid Payments,"Direct assistance paid to or on behalf of individuals — public-assistance grants such as CalWORKs and county adult assistance.",standard,manual_in_session,2026-07-16
Spending,AID_ASSIST,Aid Assistance,"In-kind and support assistance tied to public-aid programs, alongside direct aid payments.",standard,manual_in_session,2026-07-16
Spending,MTL_SUPP,Materials & Supplies,"Physical goods the City consumes: pharmaceuticals, fuel, food, office and maintenance supplies.",standard,manual_in_session,2026-07-16
Spending,PROG_PROJ,Programmatic Projects,"Budget set aside for defined projects and initiatives, spent through the programs that carry them out.",standard,manual_in_session,2026-07-16
Spending,UNAP_REV_RET,Unappropriated Rev Retained,"Revenue budgeted but deliberately not appropriated for spending — retained as fund balance or reserve.",standard,manual_in_session,2026-07-16
Spending,UNAP_REV_DESIG,Unappropriated Rev-Designated,"Revenue set aside for a designated future purpose rather than appropriated for spending this year.",standard,manual_in_session,2026-07-16
Spending,UNAP_REV_CHRT_RSV,Unapprop Rev-Charter Reserves,"Revenue routed to reserves required by the City Charter (rainy-day style reserves).",standard,manual_in_session,2026-07-16
Spending,OTH_SUP_CARE_PERS,Other Support/Care of Persons,"Care purchased for people the City is responsible for: foster care, board-and-care, shelter beds, treatment placements.",standard,manual_in_session,2026-07-16
Spending,FAC_MNTC,Facilities Maintenance,"Upkeep of City buildings and facilities: repairs, renovation and maintenance projects.",standard,manual_in_session,2026-07-16
Spending,FID_BEN_PMT,Fiduciary-Benefit Payments,"Benefit payments made from fiduciary funds the City administers (retirement and health trusts).",standard,manual_in_session,2026-07-16
Spending,OTH_EXP_NON_EXP,Other Expenses-Non Expend Type,"Accounting entries that are not cash spending (non-expenditure items).",standard,manual_in_session,2026-07-16
Spending,CAP_EXP,Capitalized Expenditures,"Spending recorded as capital assets on the balance sheet rather than as an operating expense.",standard,manual_in_session,2026-07-16
Spending,CONT_REF_DIST,Contribution Refund/Distrib,"Refunds or distributions of contributions, mainly retirement-system flows.",standard,manual_in_session,2026-07-16
Spending,GEN_FUND_SUB,General Fund Subsidy Xfer Out,"General Fund subsidy transferred to departments whose own revenues do not cover their costs.",standard,manual_in_session,2026-07-16
Spending,TFR_OUT_CAP_EXP,Transfer Out For Captl Expend,"Transfers out earmarked for capital spending in another fund.",standard,manual_in_session,2026-07-16
Spending,OTH_FIN_USES,Other Financing Uses,"Other financing outflows, such as bond refundings and similar financing transactions.",standard,manual_in_session,2026-07-16
Spending,CARRYFWD_BUD_ONLY,Carry-Forward Budgets Only,"Budget authority carried forward from a prior year — a budgeting entry, not new money.",standard,manual_in_session,2026-07-16
Spending,OH_ALLOCS,Overhead and Allocations,"Overhead charged out to other departments and funds; appears negative where a department recovers its overhead costs from the departments it serves.",offset,manual_in_session,2026-07-16
