job_code,job_title_ref,reclass_family_code,reclass_family,note,classification_method,classified_at
430C,Deputy Court Clerk III,SCRT,SF Superior Court,Superior Court job scheme (xxC codes) — the court runs its own classification,manual,2026-07-16
420C,Deputy Court Clerk II,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
500C,Court Reporter,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
202C,Court Supervisor II,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
620C,Court Interpreter,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
312C,Court Staff Attorney II,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
148C,Court Manager,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
410C,Deputy Court Clerk I,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
355C,Ct Comp Facilities Coord,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
316C,Sr Court Staff Attorney,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
374C,Admin Analyst 3,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
353C,Ct Comp App Analyst,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
474C,Senior Fiscal Technician,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
352C,Ct Comp Sys Engineer II,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
192C,Court Administrator,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
285C,Court Computer Sys Manager,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
376C,Sr Human Resources Analyst,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
985C,Court Commissioner,SCRT,SF Superior Court,Superior Court judicial officer,manual,2026-07-16
377C,Principal Mgmt Analyst,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
899C,Court Executive Officer,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
372C,Administrative Analyst II,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
472C,Fiscal Technician,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
450C,Building Services Technician,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
441C,Court Paralegal,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
185C,"Director, Info Tech Group",SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
131C,Managing Attorney,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
491C,Court Administrative Secretary,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
879C,"Director, Fiscal Services",SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
165C,"Director, Probate",SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
155C,Court Reporter Coordinator,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
476C,Personnel/Payroll Repres,SCRT,SF Superior Court,Superior Court job scheme (xxC codes),manual,2026-07-16
