vendor,bucket,classification_note,classification_method,classified_at,is_aggregation_line
J P MORGAN CHASE BANK NA,fiscal_agent_debt_service,"City's commercial bank / paying agent — debt service and pass-through flows, not a service provider",manual,2026-07-16,false
THE DEPOSITORY TRUST COMPANY,fiscal_agent_debt_service,DTC — clearing house through which bond principal and interest payments flow to bondholders,manual,2026-07-16,false
THE BANK OF NEW YORK MELLON TRUST CO NA,fiscal_agent_debt_service,Bond trustee / paying agent (spelling 1 of 2 — same institution as THE BANK OF NEW YORK MELLON),manual,2026-07-16,false
THE BANK OF NEW YORK MELLON,fiscal_agent_debt_service,Bond trustee / paying agent (spelling 2 of 2 — same institution as THE BANK OF NEW YORK MELLON TRUST CO NA),manual,2026-07-16,false
US BANK NATIONAL ASSOCIATION,fiscal_agent_debt_service,Bond trustee / paying agent — debt service flows,manual,2026-07-16,false
KAISER FOUNDATION HEALTH PLAN INC,healthcare,Employee/retiree health plan premiums (nonprofit health plan — flagged X in the data),manual,2026-07-16,false
BLUE SHIELD OF CALIF,healthcare,Employee/retiree health plan premiums,manual,2026-07-16,false
MWH CONSTRS & WEBCOR BLDRS A CNST JV,supplier,Construction joint venture (SFPUC capital projects),manual,2026-07-16,false
Single Payment Payees,other,Controller's aggregation of one-off payees published as a single line — not one entity,manual,2026-07-16,true
CITY COLLEGE OF SAN FRANCISCO,other,"Public community college district — intergovernmental funding, not a market supplier",manual,2026-07-16,false
STATE OF CALIF DEPT OF HEALTH CARE SVCS,other,State agency — intergovernmental health program flows (Medi-Cal etc.),manual,2026-07-16,false
REGENTS OF THE UNIVERSITY OF CALIFORNIA,healthcare,UC (public university) — primarily UCSF clinical staffing of Zuckerberg SF General under the affiliation agreement,manual,2026-07-16,false
Voya Institutional Plan Services LLC,payroll_passthrough,"Deferred-compensation (457b) plan administrator — employee contributions passing through, not city spending on services",manual,2026-07-16,false
TURNER CONSTRUCTION CO,supplier,Construction contractor (capital projects),manual,2026-07-16,false
HENSEL PHELPS CONSTRUCTION CO,supplier,Construction contractor (capital projects),manual,2026-07-16,false
DEPARTMENT OF SOCIAL SERVICES,other,State agency — intergovernmental social-services flows (IHSS etc.),manual,2026-07-16,false
PCL CONSTRUCTION INC.,supplier,Construction contractor (capital projects),manual,2026-07-16,false
CHILDREN'S COUNCIL OF SAN FRANCISCO,nonprofit,Nonprofit — child-care subsidy administration and family services,manual,2026-07-16,false
THE NORTHERN TRUST COMPANY,fiscal_agent_debt_service,"Custodian bank (investment/retirement custody flows), not a service provider",manual,2026-07-16,false
SAN FRANCISCO COUNTY TRANSPORTATION AUTH,other,Public agency (sales-tax transportation authority) — intergovernmental,manual,2026-07-16,false
Siemens Mobility Inc.,supplier,Light-rail vehicle manufacturer (Muni LRV4 fleet),manual,2026-07-16,false
SF BAY AREA RAPID TRANSIT DISTRICT,other,Public transit district — intergovernmental,manual,2026-07-16,false
SF IN-HOME SPPRTIV SVCS (IHSS) PUBL AUTH,payroll_passthrough,Public authority administering wages/benefits of IHSS home-care workers,manual,2026-07-16,false
MCKESSON CORPORATION,supplier,Pharmaceutical distribution,manual,2026-07-16,false
HEALTHRIGHT 360,nonprofit,Nonprofit — health and behavioral-health services,manual,2026-07-16,false
ZB National Association,fiscal_agent_debt_service,Zions Bancorporation NA — paying agent / trustee flows,manual,2026-07-16,false
PACIFIC GAS & ELECTRIC CO,supplier,Utility (gas and electricity),manual,2026-07-16,false
MCCARTHY BUILDING COMPANIES INC,supplier,Construction contractor (capital projects),manual,2026-07-16,false
TENDERLOIN HOUSING CLINIC INC,nonprofit,Nonprofit — supportive housing and tenant services,manual,2026-07-16,false
DELTA DENTAL PLAN OF CALIFORNIA,healthcare,Employee/retiree dental plan premiums,manual,2026-07-16,false
A P X INC,supplier,Energy market scheduling/clearing services (CleanPowerSF),manual,2026-07-16,false
UNITED HEALTHCARE INSURANCE COMPANY,healthcare,Employee/retiree health plan premiums,manual,2026-07-16,false
CALPINE ENERGY SERVICES LP,supplier,Wholesale power purchases,manual,2026-07-16,false
EPISCOPAL COMMUNITY SVCS OF S F INC,nonprofit,Nonprofit — homelessness and supportive-housing services,manual,2026-07-16,false
FIVE KEYS SCHOOLS AND PROGRAMS,nonprofit,"Nonprofit — charter schools, reentry and shelter programs",manual,2026-07-16,false
GOLDEN GATE CONSTRUCTORS,supplier,Construction joint venture,manual,2026-07-16,false
MOSCONE CENTER JOINT VENTURE,supplier,Construction/facility joint venture (Moscone Center),manual,2026-07-16,false
S J AMOROSO CONSTRUCTION CO LLC,supplier,Construction contractor (capital projects),manual,2026-07-16,false
NEXTERA ENERGY MARKETING LLC,supplier,Wholesale power purchases (CleanPowerSF / Hetch Hetchy),manual,2026-07-16,false
SWINERTON BUILDERS,supplier,Construction contractor (capital projects),manual,2026-07-16,false
SUNDT/WALSH A JOINT VENTURE,supplier,Construction joint venture,manual,2026-07-16,false
THE SF HOUSING ACCELERATOR FUND,nonprofit,Nonprofit housing acquisition/preservation fund,manual,2026-07-16,false
BANK OF AMERICA NT & SA,fiscal_agent_debt_service,City's former commercial bank — payroll-tax and other pass-through remittances (pre-2018 banking role),manual,2026-07-16,false
U S BANK,fiscal_agent_debt_service,Bond trustee / paying agent — debt service flows (spelling variant of US BANK NATIONAL ASSOCIATION),manual,2026-07-16,false
U S BANK TRUST N A,fiscal_agent_debt_service,Bond/lease trustee — debt service and lease-financing flows,manual,2026-07-16,false
WELLS FARGO BANK N A,fiscal_agent_debt_service,Trustee/custodian bank — restricted-asset and debt-related flows,manual,2026-07-16,false
WILMINGTON TRUST NATIONAL ASSOCIATION,fiscal_agent_debt_service,Bond trustee / escrow agent — refunding-bond and debt service flows,manual,2026-07-16,false
MUFG UNION BANK NA,fiscal_agent_debt_service,Bond trustee / paying agent — debt service flows,manual,2026-07-16,false
DEUTSCHE BANK NATIONAL TRUST CO,fiscal_agent_debt_service,Trustee — lease-financing and debt service flows,manual,2026-07-16,false
BANK OF AMERICA NA,fiscal_agent_debt_service,Disbursement bank for assistance programs (support and care of persons) — funds passing through to program recipients,manual,2026-07-16,false
CITY NATIONAL BANK,fiscal_agent_debt_service,Disbursement bank for assistance and loan programs — funds passing through to recipients,manual,2026-07-16,false
CALPERS,payroll_passthrough,State pension system — retirement contributions remitted for CalPERS-covered employees,manual,2026-07-16,false
PRUDENTIAL INVESTMENT MANAGEMENT INC,payroll_passthrough,Former deferred-compensation (457b) plan administrator — employee contributions passing through (predecessor to Voya),manual,2026-07-16,false
P&A ADMINISTRATIVE SERVICES INC,payroll_passthrough,Employee-benefit account administrator (flexible spending / COBRA) — employee money passing through,manual,2026-07-16,false
ACUMEN FISCAL AGENT LLC,payroll_passthrough,Fiscal agent / employer-of-record for in-home care worker payments — wages passing through,manual,2026-07-16,false
San Francisco Health Plan,healthcare,City-sponsored Medi-Cal managed-care plan — largely program premium flows,manual,2026-07-16,false
SAN FRANCISCO COMMUNITY HEALTH AUTHORITY,healthcare,Public authority operating the San Francisco Health Plan (Medi-Cal managed care),manual,2026-07-16,false
UCSF CLINIC PRAC GRP SFGH/COMM FOCUS PGM,healthcare,UCSF clinical practice group — physician staffing of Zuckerberg SF General,manual,2026-07-16,false
REGENTS UNIV OF CA / SFGH PSYCHIATRY DPT,healthcare,UCSF psychiatry department at Zuckerberg SF General (UC Regents affiliate spelling),manual,2026-07-16,false
CRESTWOOD BEHAVIORAL HEALTH INC,healthcare,Behavioral-health facility operator — psychiatric placements for DPH clients,manual,2026-07-16,false
ADDICTION RESEARCH & TREATMENT INC,healthcare,Opioid-treatment (methadone) clinic operator under DPH contracts,manual,2026-07-16,false
CROSS COUNTRY STAFFING,healthcare,Clinical staffing agency — hospital nurse staffing,manual,2026-07-16,false
STATE OF CALIF STATE TREAS CASH MGT DIV,other,State treasury — court fees and other collections remitted to the State,manual,2026-07-16,false
DEPARTMENT OF GENERAL SERVICES,other,California Department of General Services — intergovernmental energy and service flows,manual,2026-07-16,false
CA dept of Tax & Fee Admin (BOE),other,State tax agency — tax remittances (intergovernmental),manual,2026-07-16,false
STATE WATER RESOURCES CONTROL BOARD,other,State agency — clean-water revolving-fund loan repayments (intergovernmental),manual,2026-07-16,false
NATIONAL PARK SERVICE,other,"Federal agency — permits, leases and intergovernmental payments",manual,2026-07-16,false
SAN MATEO COUNTY,other,Neighboring county — intergovernmental program payments,manual,2026-07-16,false
SAN FRANCISCO UNIFIED SCHOOL DISTRICT,other,School district — City grants and program funding to SFUSD (intergovernmental),manual,2026-07-16,false
SAN FRANCISCO COMMUNITY COLLEGE DISTRICT,other,Public community college district — intergovernmental funding (spelling variant of CITY COLLEGE OF SAN FRANCISCO),manual,2026-07-16,false
TRANSBAY JOINT POWERS AUTHORITY,other,Public agency (Transbay transit center) — intergovernmental,manual,2026-07-16,false
PENINSULA CORRIDOR JOINT POWERS BOARD,other,Caltrain joint powers board — intergovernmental transit funding,manual,2026-07-16,false
METROPOLITAN TRANSPORTATION COMMISSION,other,Regional transportation agency — intergovernmental,manual,2026-07-16,false
SF TOURISM IMPROVEMENT DIST MGMT CORP,other,Business-district assessment pass-through — hotel assessments collected by the City and remitted to the district,manual,2026-07-16,false
CCSF HRD WORKERS COMP DIVISION,other,The City's own workers'-compensation division — internal insurance funding flows,manual,2026-07-16,false
CCSF TPA WORKERS COMP DIVISION,other,The City's own workers'-compensation division (third-party-administered) — internal insurance flows,manual,2026-07-16,false
CCSF/MTA WORKERS' COMP/INTERCARE INS SVC,other,"City workers'-compensation account (MTA), third-party-administered — internal insurance flows",manual,2026-07-16,false
HSA AP Interface Supplier,other,"Accounting interface line for HSA aid payments (foster care, adoption, CAAP) — aggregated benefit payments, not one entity",manual,2026-07-16,true
RICHMOND AREA MULTI-SERVICES INC,nonprofit,Nonprofit — behavioral-health and community services,manual,2026-07-16,false
PROGRESS FOUNDATION,nonprofit,Nonprofit — residential behavioral-health programs,manual,2026-07-16,false
WU YEE CHILDREN'S SERVICES,nonprofit,Nonprofit — early-childhood education and family services,manual,2026-07-16,false
CATHOLIC CHARITIES,nonprofit,"Nonprofit — homelessness, housing and family services",manual,2026-07-16,false
FELTON INSTITUTE,nonprofit,Nonprofit — behavioral-health and social services,manual,2026-07-16,false
BAKER PLACES INC,nonprofit,Nonprofit — residential treatment programs,manual,2026-07-16,false
HOMEBRIDGE INC,nonprofit,Nonprofit — in-home care services (IHSS contract mode),manual,2026-07-16,false
WESTSIDE COMMUNITY MENTAL HEALTH CTR INC,nonprofit,Nonprofit — community mental-health services,manual,2026-07-16,false
CONARD HOUSE INC,nonprofit,Nonprofit — supportive housing and mental-health services,manual,2026-07-16,false
SAN FRANCISCO AIDS FOUNDATION,nonprofit,Nonprofit — HIV/AIDS health services,manual,2026-07-16,false
LARKIN STREET YOUTH SERVICES,nonprofit,Nonprofit — homeless and at-risk youth services,manual,2026-07-16,false
