sub_object_code,sub_object,spend_class,basis,needs_review,classified_at
527040,Construction Contracts,purchase,label_rule,false,2026-07-28
538010,Community Based Org Srvcs,purchase,label_rule,false,2026-07-28
574110,Bond Interest-Expense,obligation,label_rule,false,2026-07-28
479990,SFERS Other Non-Operating Rev,ledger,code_range,true,2026-07-28
567110,Bldg Struct Imprv-Direct Purch,purchase,code_range,true,2026-07-28
571110,Bond Redemption,obligation,label_rule,false,2026-07-28
556150,Medical-Health Plan Providers,obligation,label_rule,false,2026-07-28
230500,230490CONFedIncomeTaxTaxUnIt1,obligation,code_range,true,2026-07-28
527990,Other Professional Services,purchase,label_rule,false,2026-07-28
527890,Other Medical Services,purchase,label_rule,false,2026-07-28
539200,Loans Issued By City,ledger,label_rule,false,2026-07-28
OTHR_OBLIG_AGNCY_FUN,Other Obligations-Agency Fund,obligation,label_rule,false,2026-07-28
AGNCY_OBL_SCHL&CCD,Agency Obl.-School&CollegeDist,obligation,label_rule,false,2026-07-28
533110,Power For Resale,purchase,label_rule,false,2026-07-28
232520,230750RETM&DDeferredCompensati,obligation,code_range,true,2026-07-28
230610,230490CONStateIncomeTaxTaxU1,obligation,code_range,true,2026-07-28
527860,UC Medical Services,purchase,label_rule,false,2026-07-28
LIAB_OTHR,Liabilities-Other,ledger,label_rule,false,2026-07-28
556140,B Flx Medical-Claims Paid,obligation,label_rule,false,2026-07-28
230530,230490CONOasdiTaxTaxUnit1,obligation,code_range,true,2026-07-28
232750,"232660CONSocSecCityShare,Gener",obligation,code_range,true,2026-07-28
560290,Automotive & Other Vehicles,purchase,label_rule,false,2026-07-28
232850,"232840CONFederalIncomeTax,TaxU",obligation,label_rule,false,2026-07-28
537810,IHSS Ip Payments,purchase,label_rule,false,2026-07-28
552430,Public Hlth Intergovern Pymnt,obligation,label_rule,false,2026-07-28
552115,Sales-Use Tax,obligation,label_rule,false,2026-07-28
527510,Management Consulting Services,purchase,label_rule,false,2026-07-28
530110,Property Rent,purchase,label_rule,false,2026-07-28
REST_CASH_INOUT_TRLT,Rest Cash/Inv Out Treas LT,ledger,label_rule,false,2026-07-28
470120,RetHlthContrib sent to trustee,obligation,label_rule,false,2026-07-28
535960,Software Licensing Fees,purchase,label_rule,false,2026-07-28
544610,Pharmaceutical,purchase,label_rule,false,2026-07-28
552410,Payments To Other Govt,obligation,label_rule,false,2026-07-28
556120,B Flx Medical Capitation,obligation,label_rule,false,2026-07-28
