beneficiaire_normalise,ode_siret,ode_nom_entreprise,ode_code_postal,ode_ville,ode_date_recherche,ode_source,ode_score_match
0 MEGOT,,,,,2026-02-05,not_found,
030 ENSEMBLE VOCAL 0 TRENTE,49406028800011,030 ENSEMBLE VOCAL 0 TRENTE,75016,,2026-02-05,api_annuaire,0
100 ETABLISS CULTUREL SOLIDAIRE,,,,,2026-02-05,not_found,
100 ETABLISSEMENT CULTUREL SOLIDAIRE,79006089100013,LE 100  ETABLISSEMENT CULTUREL SOLIDAIRE (100 ECS),75012,,2026-02-05,api_annuaire,0
100 ETS CULTUREL SOLIDAIRE,,,,,2026-02-05,not_found,
100 HANDINAMIQUE PR LA REU DES JEU,,,,,2026-02-05,not_found,
1000 COLLECTES,81223340100023,ASSOCIATION 1000 COLLECTES,75017,,2026-02-05,api_annuaire,0
1000 VISAGES PRODUCTION,,,,,2026-02-05,not_found,
1000087131,,,,,2026-02-05,not_found,
1000087138,,,,,2026-02-05,not_found,
1001 VIES HABITAT,,,,,2026-02-05,not_found,
104 CENT QUATRE,50837292700014,104 CENT QUATRE,75019,PARIS,2026-02-05,api_annuaire,0
10MENTIONWEB FORMATION,,,,,2026-02-05,not_found,
11 DEGRES,,,,,2026-02-05,not_found,
123G,,,,,2026-02-05,not_found,
125,,,,,2026-02-05,not_found,
129 H PRODUCTIONS,,,,,2026-02-05,not_found,
13 NOVEMBRE 2015 FRATERNITE ET VERI,,,,,2026-02-05,not_found,
13B CONCEPTION,,,,,2026-02-05,not_found,
13ONZE15 FRATERNITE ET VERITE,,,,,2026-02-05,not_found,
1515 PRODUCTIONS,,,,,2026-02-05,not_found,
156,,,,,2026-02-05,not_found,
19 FEDE NAT COMBAT ALGERIE,,,,,2026-02-05,not_found,
1909,,,,,2026-02-05,not_found,
1ER ETAGE SAINTE CROIX,,,,,2026-02-05,not_found,
2 B TRANSPORTS,,,,,2026-02-05,not_found,
200 ANS GUIGNOL CHAMPS ELYSEES,,,,,2026-02-05,not_found,
22PLATEAU,,,,,2026-02-05,not_found,
24 AOUT 1944 LA NUEBE,,,,,2026-02-05,not_found,
24AOUT 1944,,,,,2026-02-05,not_found,
