beneficiaire_normalise,ode_thematique,ode_sous_categorie,ode_confiance,ode_date_recherche,ode_source
100 ETABLISS CULTUREL SOLIDAIRE,Culture,Réseau d'établissements culturels solidaires,0.85,2026-02-18,llm_claude
100 ETABLISSEMENT CULTUREL SOLIDAIRE,Culture,Établissement culturel solidaire - accès à la culture,0.85,2026-02-18,llm_claude
100 ETS CULTUREL SOLIDAIRE,Culture,Établissement culturel et solidaire (Le CENTQUATRE-PARIS),0.85,2026-02-18,llm_claude
1001 VIES HABITAT,Logement,Bailleur social,0.93,2026-02-18,llm_claude
104 CENT QUATRE,Culture,Établissement culturel pluridisciplinaire,1.0,2026-04-20,llm_gemini
13 AVENIR,Social - Solidarité,Association de solidarité et insertion dans le 13e arrondissement,0.5,2026-02-18,llm_claude
13ONZE15 FRATERNITE ET VERITE,Social - Solidarité,Association des victimes des attentats du 13 novembre 2015,0.85,2026-02-18,llm_claude
19EME RUGISSANTS,Culture,Compagnie artistique / événements culturels dans le 19e arrondissement,0.75,2026-02-18,llm_claude
3 CHEMINS,Social - Solidarité,Animation locale et lien social,0.85,2026-04-20,llm_gemini
3 S SEJOUR SPORTIF SOLIDAIRE,Sport,Séjours sportifs et solidaires,0.75,2026-02-18,llm_claude
3F RESIDENCES,Logement,Bailleur social (Groupe 3F),0.92,2026-02-18,llm_claude
42,Éducation,Formation supérieure en informatique,1.0,2026-04-20,llm_gemini
A CHACUN SES VACANCES,Social - Solidarité,Loisirs et vacances pour personnes handicapées,0.95,2026-04-20,llm_gemini
A L ADRESSE DU JEU,Culture,Jeu et ludothèque,0.55,2026-02-18,llm_claude
A S L OLYMPIADES,Administration,Association syndicale libre (copropriété du 13e),0.97,2026-02-18,llm_claude
A SUIVRE,Culture,Compagnie ou production artistique,0.45,2026-02-18,llm_claude
A.S.L. OLYMPIADES,Administration,Copropriété (ASL),1.0,2026-04-20,llm_gemini
ABC PUERICULTURE,Social - Petite enfance,Puériculture et petite enfance,0.92,2026-02-18,llm_claude
ABC PUÉRICULTURE,Social - Petite enfance,Puériculture,0.95,2026-02-18,llm_claude
ACADEMIE FOOTBALL PARIS 18,Sport,Club de football - 18e arrondissement,0.97,2026-02-18,llm_claude
ACCELER PARISIEN D INNOVATION,Économie,Accélérateur d'innovation parisien,0.9,2026-02-18,llm_claude
ACCESSIJEUX,Social - Solidarité,Loisirs et jeux accessibles aux personnes handicapées,0.95,2026-04-20,llm_gemini
ACCOMPAG GLOBAL CONTRE EXCLUSION,Social - Solidarité,Accompagnement global contre l'exclusion,0.95,2026-02-18,llm_claude
ACCORDS CROISES,Culture,Musiques du monde,0.95,2026-04-20,llm_gemini
ACCUEIL GOUTTE D OR,Social - Solidarité,Accueil et insertion des populations du quartier Goutte d'Or,0.9,2026-02-18,llm_claude
ACCUEIL GOUTTE D'OR,Social - Solidarité,Centre social et insertion quartier Goutte d'Or,1.0,2026-04-20,llm_gemini
ACIDULES ET A CROQUER,Social - Petite enfance,Crèche parentale,0.95,2026-04-20,llm_gemini
ACORE,Social - Solidarité,Coordination des œuvres d'entraide et reclassement,0.9,2026-04-20,llm_gemini
ACP LA MANUFACTURE CHANSON,Culture,Manufacture Chanson - formation et diffusion chanson/musique,0.95,2026-02-18,llm_claude
ACTEURS DE LA REUSSITE EDUCATIVE,Éducation,Accompagnement et réussite scolaire,1.0,2026-04-20,llm_gemini
ACTI COLLTERR INIT SOCI SPOR CULT E,Social - Solidarité,Gestion de centres d'animation (ACTISCE),0.9,2026-04-20,llm_gemini
ACTION ET TRANSITION,Environnement,Transition écologique et développement durable,0.8,2026-04-20,llm_gemini
ACTION SOCIA PERSON VIL PARISDEP PA,Social - Solidarité,Action sociale - personnes vulnérables (Ville de Paris / Département de Paris),0.9,2026-02-18,llm_claude
ACTIONS ET RESSOUR POUR L INSERT,Social - Solidarité,Insertion sociale et accompagnement des publics en difficulté,0.9,2026-02-18,llm_claude
ACTIONS ET RESSOUR POUR L'INSERT,Social - Solidarité,Insertion sociale et professionnelle,1.0,2026-04-20,llm_gemini
ACTIONS SOLIDARITE INTERNATIONALE,International,Aide au développement et solidarité internationale,1.0,2026-04-20,llm_gemini
ACTIV'18,Social - Solidarité,Animation locale et lien social,0.85,2026-04-20,llm_gemini
ADDEL,Économie,Association pour le développement économique local,0.55,2026-02-18,llm_claude
ADOMA,Logement,Hébergement et logement social (ex-Sonacotra),0.9,2026-02-18,llm_claude
AFG,Social - Solidarité,Handicap (Autisme),0.8,2026-04-20,llm_gemini
AGCE METRO DES MOBILITES PARTAGEES,Transport,Agence métropolitaine des mobilités partagées,0.9,2026-02-18,llm_claude
AGCE METRO. DES MOBILITES PARTAGEES,Transport,Mobilités partagées et douces,0.95,2026-04-20,llm_gemini
AGENCE D AIDE A LA COOPERATION,International,Coopération internationale et aide au développement,0.85,2026-02-18,llm_claude
AGENCE D'AIDE A LA COOPERATION,International,Aide au développement et coopération,0.95,2026-04-20,llm_gemini
AGENCE DEPARTEMENTALE DINFORMATION SUR LE LOGEMENT 75,Logement,Agence Départementale d'Information sur le Logement,1.0,2026-04-20,llm_gemini
AGENCE NATIONALE DE L HABITAT,Logement,Agence nationale de l'habitat - amélioration du logement,0.95,2026-02-18,llm_claude
AGENCE NATIONALE DE L'HABITAT,Logement,Amélioration de l'habitat,1.0,2026-04-20,llm_gemini
AGENCE PARISIENNE DU CLIMAT,Environnement,Transition écologique et climat,0.95,2026-02-18,llm_claude
AGETA,Social - Solidarité,Insertion par le travail et handicap,0.85,2026-04-20,llm_gemini
AGIR SOIGNER EDUQUER INCLURE,Social - Solidarité,Accompagnement du handicap et inclusion,0.95,2026-04-20,llm_gemini
AGOSPAP,Social - Solidarité,Action sociale des personnels de la Ville de Paris et AP-HP,0.8,2026-02-18,llm_claude
AGRIPARIS SEINE,Environnement,Agriculture urbaine / circuits courts en Île-de-France,0.85,2026-02-18,llm_claude
AIDE JEUNES HANDIC INTEGR REUSSIE,Social - Solidarité,Aide à l'intégration des jeunes handicapés,0.95,2026-02-18,llm_claude
AIDES,Santé,Lutte contre le VIH/SIDA et prévention santé,0.93,2026-02-18,llm_claude
AISON PRATIQUES ARTISTIQUES AMATEU,Culture,Maison des pratiques artistiques amateurs,0.9,2026-02-18,llm_claude
ALLO MALTRAITANCE PERSONNES AGEES,Social - Solidarité,Lutte contre la maltraitance des personnes âgées,0.95,2026-02-18,llm_claude
ALTERALIA,Social - Solidarité,Insertion et solidarité,0.5,2026-02-18,llm_claude
ALTRIMENTI,Environnement,Lutte contre le gaspillage alimentaire,0.9,2026-04-20,llm_gemini
AMICALE MANIN SPORT PARIS EST,Sport,Club sportif amicale Manin Paris Est,0.95,2026-02-18,llm_claude
AMUON  LES PIERROTS DE LA NUIT,Culture,Médiation culturelle et vie nocturne,0.9,2026-04-20,llm_gemini
AMUON - LES PIERROTS DE LA NUIT,Culture,Médiation culturelle et vie nocturne,0.9,2026-04-20,llm_gemini
ANTIN RESIDENCES SA HABITAT,Logement,Bailleur social / résidences habitat,0.88,2026-02-18,llm_claude
AOCSA LA 20 EME CHAISE,Culture,Association culturelle / spectacle vivant (théâtre),0.7,2026-02-18,llm_claude
AOUT SECOURS ALIMENTAIRE,Social - Solidarité,Aide alimentaire d'urgence estivale,0.97,2026-02-18,llm_claude
APACHES DES VIGNOLES,Culture,"Association culturelle de quartier (Vignoles, 20e)",0.55,2026-02-18,llm_claude
APASO,Social - Solidarité,Accompagnement social et psychologique (APASO),0.75,2026-02-18,llm_claude
APATE,Autre,"Association au nom ambigu, activité non identifiable",0.3,2026-02-18,llm_claude
APATE BALOO,Social - Petite enfance,Crèche et accueil de jeunes enfants,1.0,2026-04-20,llm_gemini
APATE LA MAISON DAGOBERT,Social - Solidarité,Hébergement d'urgence et aide aux personnes en précarité,0.85,2026-02-18,llm_claude
APATE MOWGLI,Social - Petite enfance,Établissement d'accueil de la petite enfance (crèche),1.0,2026-04-20,llm_gemini
APHP,Santé,Assistance Publique - Hôpitaux de Paris,1.0,2026-04-20,llm_gemini
ARAIGNEE GENTILLE,Culture,Compagnie de spectacle vivant / arts de la rue,0.6,2026-02-18,llm_claude
ARBRE BLEU,Social - Petite enfance,Structure petite enfance / crèche associative,0.65,2026-02-18,llm_claude
ARC  EQUIPES D'AMITIE ARCEA,Social - Solidarité,Prévention spécialisée et aide à la jeunesse,0.95,2026-04-20,llm_gemini
ARC - EQUIPES D'AMITIE ARC-EA,Social - Solidarité,Prévention spécialisée et aide à la jeunesse,0.95,2026-04-20,llm_gemini
ARC EQUIPES D AMITIE ARC EA,Social - Solidarité,"Aide sociale et amitié, insertion",0.7,2026-02-18,llm_claude
ARC EQUIPES D AMITIE ARCEA,Social - Solidarité,"Équipes d'amitié, lien social et solidarité",0.6,2026-02-18,llm_claude
ARC EQUIPES D'AMITIE ARC EA,Social - Solidarité,Prévention spécialisée et insertion des jeunes,0.95,2026-04-20,llm_gemini
ARCAL,Culture,Art lyrique / opéra (ARCAL),0.9,2026-02-18,llm_claude
ARCAT,Santé,Lutte contre le VIH/SIDA et maladies infectieuses,0.92,2026-02-18,llm_claude
ARCHIPELIA,Social - Solidarité,Hébergement et accompagnement social,0.7,2026-02-18,llm_claude
AREMEDIA,Santé,"Prévention santé et réduction des risques (VIH, addictions)",0.85,2026-02-18,llm_claude
ARES ASSOCIATION,Social - Solidarité,Insertion par l'activité économique,1.0,2026-04-20,llm_gemini
ARES ATELIER,Économie,Insertion par l'activité économique,1.0,2026-04-20,llm_gemini
ARES SERVICES,Social - Solidarité,Insertion par l'activité économique - groupe ARES,0.88,2026-02-18,llm_claude
ARFOG LAFAYETTE,Social - Solidarité,Hébergement et insertion des personnes en difficulté,0.92,2026-02-18,llm_claude
ARFOG-LAFAYETTE,Social - Solidarité,Hébergement d'urgence et réinsertion,1.0,2026-04-20,llm_gemini
ARMEE DU SALUT,Social - Solidarité,"Hébergement d'urgence, aide aux sans-abri",0.95,2026-02-18,llm_claude
ARS LONGA,Culture,Arts numériques et création,0.9,2026-04-20,llm_gemini
ARTEMISIA,Culture,Arts visuels / bande dessinée féminine (association Artémisia),0.75,2026-02-18,llm_claude
ARTHUR ET MARINE,Social - Petite enfance,Crèche et accueil du jeune enfant,0.95,2026-04-20,llm_gemini
ARTSTOCK,Culture,Recyclage et économie circulaire pour le secteur culturel,0.95,2026-04-20,llm_gemini
AS JOSEPHINE POUR LA,Social - Solidarité,Insertion sociale et estime de soi,0.95,2026-04-20,llm_gemini
AS PERSONNELS APSAP VP,Sport,Association sportive des personnels de la Ville de Paris (APSAP-VP),0.85,2026-02-18,llm_claude
AS PERSONNELS APSAP-VP,Sport,Association sportive des personnels de la Ville de Paris,0.9,2026-04-20,llm_gemini
AS PERSONNELS APSAPVP,Sport,Association sportive des personnels,1.0,2026-04-20,llm_gemini
ASL 33 51 RUE SAINT BLAISE,Administration,Association syndicale libre - copropriété rue Saint-Blaise,0.95,2026-02-18,llm_claude
ASL 33/51 RUE SAINT BLAISE,Administration,Association Syndicale Libre (Copropriété),1.0,2026-04-20,llm_gemini
ASL OLYMPIADES,Administration,Association syndicale libre (copropriété),1.0,2026-04-20,llm_gemini
