code_insee,siren,nom,slug,population,departement
75056,217500016,Paris,paris,2133111,75
13055,211300553,Marseille,marseille,873076,13
69123,216901231,Lyon,lyon,522250,69
31555,213105554,Toulouse,toulouse,504078,31
06088,210600888,Nice,nice,342669,06
44109,214401093,Nantes,nantes,320732,44
34172,213401722,Montpellier,montpellier,299096,34
67482,216704825,Strasbourg,strasbourg,287228,67
33063,213300635,Bordeaux,bordeaux,260958,33
59350,215903501,Lille,lille,236234,59
35238,213502388,Rennes,rennes,222485,35
51454,215104217,Reims,reims,182460,51
42218,214202186,Saint-Étienne,saint-etienne,174082,42
83137,218301372,Toulon,toulon,171953,83
76351,217603513,Le Havre,le-havre,170352,76
38185,213801855,Grenoble,grenoble,158198,38
21231,212102313,Dijon,dijon,158002,21
49007,214900078,Angers,angers,155850,49
30189,213001894,Nîmes,nimes,148236,30
69266,216902668,Villeurbanne,villeurbanne,154781,69
