code_insee,nom,niveau_geo,annee,demandes_choix1,attributions,ratio_dem_attrib,delai_median_attribution_mois,part_anciennete_5ans_plus,source,source_url
75,Paris,departement,2024,195828,9098,21.52,29.9,0.2517,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75056,Paris - arrondissement non précisé,commune,2024,72662,,,,0.1997,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75101,Paris 1er Arrondissement,commune,2024,2414,31,77.87,15.9,0.3012,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75102,Paris 2e Arrondissement,commune,2024,857,28,30.61,22.1,0.2987,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75103,Paris 3e Arrondissement,commune,2024,1780,30,59.33,32.3,0.332,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75104,Paris 4e Arrondissement,commune,2024,1817,67,27.12,33.0,0.3682,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75105,Paris 5e Arrondissement,commune,2024,3724,112,33.25,24.1,0.3244,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75106,Paris 6e Arrondissement,commune,2024,1615,12,134.58,14.9,0.3059,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75107,Paris 7e Arrondissement,commune,2024,1954,16,122.12,24.5,0.2927,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75108,Paris 8e Arrondissement,commune,2024,1567,12,130.58,11.0,0.268,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75109,Paris 9e Arrondissement,commune,2024,2418,69,35.04,21.7,0.3337,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75110,Paris 10e Arrondissement,commune,2024,4881,261,18.7,27.4,0.2549,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75111,Paris 11e Arrondissement,commune,2024,7812,300,26.04,33.1,0.3079,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75112,Paris 12e Arrondissement,commune,2024,10648,854,12.47,32.2,0.2993,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75113,Paris 13e Arrondissement,commune,2024,14943,1427,10.47,27.3,0.2617,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75114,Paris 14e Arrondissement,commune,2024,8111,751,10.8,25.8,0.2965,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75115,Paris 15e Arrondissement,commune,2024,12243,946,12.94,30.0,0.288,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75116,Paris 16e Arrondissement,commune,2024,5793,232,24.97,29.3,0.3285,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75117,Paris 17e Arrondissement,commune,2024,9602,637,15.07,27.0,0.2854,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75118,Paris 18e Arrondissement,commune,2024,8930,822,10.86,30.7,0.2486,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75119,Paris 19e Arrondissement,commune,2024,11136,1196,9.31,33.2,0.2395,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
75120,Paris 20e Arrondissement,commune,2024,10921,1295,8.43,32.7,0.259,DRIHL - Socle de données demandes et attributions,https://www.drihl.ile-de-france.developpement-durable.gouv.fr/socle-de-donnees-demandes-et-attributions-de-a1414.html
