label_fr,label_en
ARTE France,ARTE France
Accompagnement des mutations économiques et développement de l'emploi,Support for economic change and employment development
Accompagnement des personnes les plus éloignées du marché du travail- Fonds d'inclusion dans l'emploi,Support for people furthest from the labour market - Employment Inclusion Fund
Accompagnement des résidents des foyers de travailleurs migrants,Support for residents of migrant worker hostels
Accompagnement des transformations des ressources humaines (DGAFP/CISIRH),Support for human resources transformation (DGAFP/CISIRH)
Accompagnement du changement de l'action publique,Support for change in public action
Accompagnement et transformation des filières,Support and transformation of industry sectors
Accompagnement transition énergétique,Energy transition support
Accueil des étrangers primo arrivants,Reception of newly arrived foreign nationals
Accueil et accompagnement des personnes placées sous main de justice,Reception and support of persons under judicial supervision
Accès au droit et à la justice,Access to law and justice
Accès aux droits et égalité professionnelle,Access to rights and professional equality
Accès des élèves français au réseau AEFE et à la langue française,French pupils' access to the AEFE network and the French language
Accès et retour à l'emploi,Access and return to employment
Accès à la nationalité française,Access to French nationality
Accélération de la croissance (fonds propres),Growth acceleration (equity)
Accélération de la modernisation des entreprises,Accelerating business modernisation
Accélération du développement des écosystèmes d'innovation performants,Accelerating the development of high-performing innovation ecosystems
Acquisition et enrichissement des collections publiques,Acquisition and enrichment of public collections
Action de la France en Europe et dans le monde,France's action in Europe and worldwide
Action sociale,Social action
Action sociale (hors APA et RSA),Social action (excluding APA and RSA)
Actions en faveur de la jeunesse et de l'éducation populaire,Support for youth and community education
Actions en faveur des rapatriés,Support for repatriates
Actions en matière de déchets et propreté urbaine,Waste management and urban cleanliness
Actions en matière de gestion des eaux,Water management
Actions pour favoriser la mise en activité professionnelle des demandeurs d'emploi,Measures to help jobseekers into work
Actions sociales en faveur des élèves,Social support for pupils
Actions territorialisées et Dispositifs spécifiques de la politique de la ville,Area-based initiatives and specific urban policy schemes
Actions transversales,Cross-cutting initiatives
Actions éducatives complémentaires aux enseignements,Educational activities complementing classroom teaching
Activité normative,Standard-setting activity
Adaptation des filières à l'évolution des marchés,Adapting industry sectors to market trends
Adaptation des territoires au changement climatique,Adapting territories to climate change
Adaptation et qualification de la main d'oeuvre,Workforce adaptation and skills development
Administration des relations avec les collectivités territoriales,Administration of relations with local authorities
Administration générale,General administration
Administration pénitentiaire,Prison administration
Administration territoriale de l'État,Territorial administration of the State
Affaires européennes et internationales,European and international affairs
Affaires immobilières,Property affairs
Affaires juridiques et contentieuses,Legal affairs and litigation
"Affaires maritimes, pêche et aquaculture","Maritime affairs, fisheries and aquaculture"
Agence de l'environnement et de la maîtrise de l'énergie (ADEME),Environment and Energy Management Agency (ADEME)
Agence nationale de la recherche,National Research Agency
Agence pour l'enseignement français à l'étranger,Agency for French Education Abroad
Agriculture et environnement,Agriculture and environment
"Agriculture, pêche et agro-alimentaire","Agriculture, fisheries and agri-food"
Aide alimentaire,Food aid
Aide aux victimes,Victim support
Aide juridictionnelle,Legal aid
Aide médicale de l'Etat,State medical aid
Aide sociale aux élèves et santé scolaire (enseignement public et privé),Social assistance for pupils and school health (public and private education)
Aide universelle d'urgence pour les personnes victimes de violences conjugales,Universal emergency aid for victims of domestic violence
Aide à l'accès au logement,Assistance with access to housing
Aide à l'insertion et à la qualification professionnelle,Support for integration into work and vocational skills
Aide à l'insertion professionnelle,Support for integration into work
Aide à la vie familiale et sociale des anciens migrants dans leur pays d'origine (AVFS),Support for the family and social life of former migrants in their country of origin (AVFS)
Aide économique et financière au développement,Economic and financial development aid
Aide économique et financière bilatérale,Bilateral economic and financial aid
Aide économique et financière multilatérale,Multilateral economic and financial aid
Aides directes,Direct aid
Aides exceptionnelles aux collectivités territoriales,Exceptional support for local authorities
Aides indirectes,Indirect aid
Aides personnelles,Personal allowances
Aides à l'acquisition de véhicules propres,Grants for purchasing clean vehicles
Aides à l'innovation « bottom-up » (subventions et prêts),Bottom-up innovation aid (grants and loans)
Aides à la presse,Press subsidies
Aides à l’innovation « bottom-up » (fonds propres),Bottom-up innovation aid (equity)
Allocations et aides en faveur des personnes handicapées,Allowances and support for people with disabilities
Allocations et dépenses d'aide sociale,Social assistance allowances and expenditure
Allègements de cotisations et contributions sociales,Reductions in social security contributions
Allègements du coût du travail en agriculture (TODE-AG),Labour cost reductions in agriculture (TODE-AG)
Amortissement de la dette de l'État liée à la covid-19,Repayment of State debt linked to Covid-19
Amortissement de la dette de l’État liée à la covid-19,Repayment of State debt linked to Covid-19
Amélioration de la qualité de l'emploi et des relations du travail,Improving job quality and labour relations
Amélioration du cadre de vie,Improving the living environment
Aménagement  du territoire,Spatial planning
Aménagement des territoires,Territorial planning and development
Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi,Anticipating and managing the employment effects of economic change
Appels en garantie de l'État (crédits évaluatifs),Calls on State guarantees (estimated appropriations)
Apprentissage,Apprenticeship
Appui au renouvellement et à la modernisation des exploitations agricoles,Support for farm renewal and modernisation
Appui au réseau,Network support
Appui et innovation des ressources humaines,Human resources support and innovation
Appui à l'accès aux financements bancaires,Support for access to bank financing
Architecture et sites patrimoniaux,Architecture and heritage sites
Assemblée nationale,National Assembly
Autorité de contrôle des nuisances aéroportuaires (ACNUSA),Airport Pollution Control Authority (ACNUSA)
Autorité de régulation de la communication audiovisuelle et numérique,Audiovisual and Digital Communication Regulatory Authority
Autres actions environnementales,Other environmental initiatives
Autres autorités indépendantes,Other independent authorities
Autres garanties,Other guarantees
Autres interventions de protection civile,Other civil protection operations
Autres projets concourant à la mise en œuvre du plan France très haut débit,Other projects contributing to the France ultra-fast broadband plan
Autres recherches et développements technologiques duaux,Other dual-use research and technological development
Autres régimes,Other schemes
Autres services annexes de l'enseignement,Other ancillary education services
Autres sécurité et salubrité,Other public safety and sanitation
BMA_Coopération bilatérale,BMA_Bilateral cooperation
Besoins éducatifs particuliers,Special educational needs
Bibliothèques et documentation,Libraries and documentation
Caisse de retraites des personnels de l'Opéra national de Paris,Pension fund for staff of the Opéra national de Paris
Caisse de retraites du personnel de la Comédie Française,Pension fund for staff of the Comédie Française
Caisse des retraites des régies ferroviaires d'outre-mer,Pension fund for overseas territories railway authorities
Cassation,Cassation
Certification,Certification
Charge de la dette de SNCF Réseau reprise par l'État (crédits évaluatifs),Cost of SNCF Réseau debt taken over by the State (estimated appropriations)
Charge de la dette et trésorerie de l'État (crédits évaluatifs),State debt service and cash management (estimated appropriations)
Charges nucléaires de long terme des installations du CEA,Long-term nuclear liabilities of CEA facilities
Circulation des étrangers et politique des visas,Movement of foreign nationals and visa policy
Collecte et traitement des déchets,Waste collection and treatment
Collectivités territoriales,Local authorities
Commandement et maîtrise de l'information,Command and information control
"Commandement, ressources humaines et logistique","Command, human resources and logistics"
Commandes militaires,Military procurement orders
Commission de régulation de l'énergie (CRE),Energy regulation commission (CRE)
Commission du contentieux du stationnement payant,Paid parking disputes commission
Commission du secret de la Défense nationale,National defence secrecy commission
Commission nationale de contrôle des techniques de renseignement,National commission for the oversight of intelligence techniques
Commission nationale de l'informatique et des libertés,National commission on information technology and civil liberties
Commission nationale des comptes de campagne et des financements politiques,National commission for campaign accounts and political financing
Commission nationale du débat public,National commission for public debate
Communication,Communication
Compagnie internationale de radio et télévision (CIRT),International radio and television company (CIRT)
Compétitivité,Competitiveness
"Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt","Competitiveness and sustainability of agriculture, agri-food and forestry"
Concours financiers aux collectivités territoriales et à leurs groupements,Financial support to local authorities and their groupings
Concours spécifiques et administration,Specific grants and administration
Conditions de vie outre-mer,Living conditions in the overseas territories
Conduite de la politique pénale et jugement des affaires pénales,Conduct of criminal justice policy and adjudication of criminal cases
Conduite et animation des politiques de l'hébergement et de l'inclusion sociale,Management and coordination of emergency shelter and social inclusion policies
Conduite et pilotage de la politique de la justice,Management and steering of justice policy
Conduite et pilotage de la transformation et de la fonction publiques,Management and steering of public transformation and the civil service
Conduite et pilotage des politiques de l'agriculture,Management and steering of agricultural policies
Conduite et pilotage des politiques de l'intérieur,Management and steering of home affairs policies
"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables","Management and steering of ecology, sustainable development and mobility policies"
Conduite et pilotage des politiques économiques et financières,Management and steering of economic and financial policies
Conseil constitutionnel,Constitutional Council
Conseil d'État et autres juridictions administratives,Council of State and other administrative courts
Conseil supérieur de la magistrature,High Council of the Judiciary
"Conseil économique, social et environnemental","Economic, Social and Environmental Council"
"Conseils, assemblée locale",Councils and local assembly
Constitution d'écoles universitaires de recherche,Establishment of graduate research schools
Construction locative et amélioration du parc,Rental housing construction and housing stock improvement
Continuité territoriale,Territorial continuity
Contributions internationales,International contributions
Contrôle de légalité et conseil aux collectivités territoriales,Legality review and advice to local authorities
Contrôle des finances publiques,Oversight of public finances
Contrôle des gestions publiques,Audit of public management
Contrôleur général des lieux de privation de liberté,Inspector-general of places of deprivation of liberty
Coopération bilatérale,Bilateral cooperation
Coopération communautaire,European Community cooperation
Coopération culturelle et promotion du français,Cultural cooperation and promotion of the French language
Coopération de sécurité et de défense,Security and defence cooperation
Coopération décentralisée et actions internationales,Decentralised cooperation and international activities
Coopération multilatérale,Multilateral cooperation
Coordination de l'action diplomatique,Coordination of diplomatic action
Coordination de la politique des ressources humaines en matière d’encadrement supérieur et dirigeant de l’Etat,Coordination of human resources policy for the State's senior and executive management
Coordination de la politique européenne,Coordination of European policy
Coordination de la politique numérique,Coordination of digital policy
Coordination de la sécurité des personnes et des biens,Coordination of the security of persons and property
Coordination de la sécurité et de la défense,Coordination of security and defence
Coordination du travail gouvernemental,Coordination of government work
Cour de justice de la République,Court of Justice of the Republic
Cour des comptes et autres juridictions financières,Court of Audit and other financial courts
