key,value,unit,year,source,source_url,date_reference,notes
ir_tranche_1_seuil,11497,EUR_par_part,2025,"Article 197 CGI - barème IR revalorisé par LFI 2025 (revenus 2024)",https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006069577/,2025-01-01,"Plafond de la 1ère tranche IR (taux 0%). Revalorisé chaque année par la LFI."
ir_tranche_1_taux,0.00,ratio,2025,"Article 197 CGI - barème IR revalorisé par LFI 2025",https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006069577/,2025-01-01,"Taux marginal de la tranche 0 - 11 497 EUR / part."
ir_tranche_2_seuil,29315,EUR_par_part,2025,"Article 197 CGI - barème IR revalorisé par LFI 2025",https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006069577/,2025-01-01,"Plafond de la 2e tranche IR (taux 11%)."
ir_tranche_2_taux,0.11,ratio,2025,"Article 197 CGI - barème IR revalorisé par LFI 2025",https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006069577/,2025-01-01,"Taux marginal de la tranche 11 498 - 29 315 EUR / part."
ir_tranche_3_seuil,83823,EUR_par_part,2025,"Article 197 CGI - barème IR revalorisé par LFI 2025",https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006069577/,2025-01-01,"Plafond de la 3e tranche IR (taux 30%)."
ir_tranche_3_taux,0.30,ratio,2025,"Article 197 CGI - barème IR revalorisé par LFI 2025",https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006069577/,2025-01-01,"Taux marginal de la tranche 29 316 - 83 823 EUR / part."
ir_tranche_4_seuil,180294,EUR_par_part,2025,"Article 197 CGI - barème IR revalorisé par LFI 2025",https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006069577/,2025-01-01,"Plafond de la 4e tranche IR (taux 41%)."
ir_tranche_4_taux,0.41,ratio,2025,"Article 197 CGI - barème IR revalorisé par LFI 2025",https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006069577/,2025-01-01,"Taux marginal de la tranche 83 824 - 180 294 EUR / part."
ir_tranche_5_taux,0.45,ratio,2025,"Article 197 CGI - barème IR revalorisé par LFI 2025",https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006069577/,2025-01-01,"Taux marginal de la dernière tranche IR (au-delà de 180 294 EUR / part)."
ir_plafond_demi_part,1791,EUR,2025,"Article 197 I-2 CGI - LFI 2025",https://www.impots.gouv.fr/particulier/quotient-familial,2025-01-01,"Plafond de l'avantage fiscal procuré par chaque demi-part supplémentaire au titre du quotient familial (cas général)."
ir_abattement_10pct_taux,0.10,ratio,2025,"Article 83-3° CGI - abattement forfaitaire 10% frais professionnels",https://www.impots.gouv.fr/particulier/frais-professionnels,2025-01-01,"Taux de l'abattement forfaitaire pour frais professionnels appliqué sur les salaires nets imposables avant calcul IR."
ir_abattement_10pct_min,504,EUR,2025,"Article 83-3° CGI - LFI 2025 (revenus 2024)",https://www.impots.gouv.fr/particulier/frais-professionnels,2025-01-01,"Plancher de l'abattement 10% frais professionnels (par membre du foyer)."
ir_abattement_10pct_max,14426,EUR,2025,"Article 83-3° CGI - LFI 2025 (revenus 2024)",https://www.impots.gouv.fr/particulier/frais-professionnels,2025-01-01,"Plafond de l'abattement 10% frais professionnels (par membre du foyer)."
ir_decote_celibataire_seuil,1964,EUR,2025,"Article 197 I-4 CGI - décote IR LFI 2025 (revenus 2024)",https://bofip.impots.gouv.fr/bofip/2247-PGP.html,2025-01-01,"Seuil d'IR brut au-dessous duquel la décote célibataire s'applique."
ir_decote_celibataire_base,889,EUR,2025,"Article 197 I-4 CGI - décote IR LFI 2025 (revenus 2024)",https://bofip.impots.gouv.fr/bofip/2247-PGP.html,2025-01-01,"Base de la décote célibataire : décote = 889 - 0,4525 × IR_brut."
ir_decote_couple_seuil,3248,EUR,2025,"Article 197 I-4 CGI - décote IR LFI 2025 (revenus 2024)",https://bofip.impots.gouv.fr/bofip/2247-PGP.html,2025-01-01,"Seuil d'IR brut au-dessous duquel la décote couple s'applique."
ir_decote_couple_base,1470,EUR,2025,"Article 197 I-4 CGI - décote IR LFI 2025 (revenus 2024)",https://bofip.impots.gouv.fr/bofip/2247-PGP.html,2025-01-01,"Base de la décote couple : décote = 1 470 - 0,4525 × IR_brut."
ir_decote_taux,0.4525,ratio,2025,"Article 197 I-4 CGI - décote IR LFI 2025 (revenus 2024)",https://bofip.impots.gouv.fr/bofip/2247-PGP.html,2025-01-01,"Pente de la décote IR (s'applique linéairement sur l'IR brut)."
csg_taux_activite,0.092,ratio,2025,"Code de la sécurité sociale article L136-8 - taux CSG sur revenus d'activité",https://www.urssaf.fr/portail/home/taux-et-baremes/taux-de-cotisations.html,2025-01-01,"Taux CSG sur revenus d'activité (8,3% activité + 0,4% supplémentaire = 9,2%)."
csg_taux_deductible,0.068,ratio,2025,"Code général des impôts article 154 quinquies",https://www.impots.gouv.fr/particulier/questions/quelle-est-la-part-de-la-csg-deductible-de-mon-revenu-imposable,2025-01-01,"Part de CSG déductible du revenu imposable (6,8% sur 9,2% prélevés)."
crds_taux,0.005,ratio,2025,"Ordonnance n°96-50 du 24 janvier 1996",https://www.urssaf.fr/portail/home/taux-et-baremes/taux-de-cotisations.html,2025-01-01,"Taux CRDS (Contribution au remboursement de la dette sociale) sur revenus d'activité."
csg_crds_total_activite,0.097,ratio,2025,"URSSAF - taux et barèmes 2025",https://www.urssaf.fr/portail/home/taux-et-baremes/taux-de-cotisations.html,2025-01-01,"Total CSG (9,2%) + CRDS (0,5%) = 9,7% prélevés sur l'assiette CSG (98,25% du brut)."
csg_assiette_abattement,0.9825,ratio,2025,"Code de la sécurité sociale article L136-2",https://www.urssaf.fr/portail/home/taux-et-baremes/assiettes-et-plafonds.html,2025-01-01,"Abattement de 1,75% pour frais professionnels appliqué à l'assiette CSG/CRDS sur les revenus d'activité (limité à 4 PASS)."
cotisations_salariees_hors_csg_taux_moyen,0.125,ratio,2024,"URSSAF - taux et barèmes cotisations salariées 2024 (synthèse privé non-cadre/cadre)",https://www.urssaf.fr/portail/home/taux-et-baremes/taux-de-cotisations.html,2024-01-01,"Taux moyen pondéré des cotisations salariales hors CSG/CRDS dans le privé : maladie (0,75%) + vieillesse plafonnée (6,9%) + vieillesse déplafonnée (0,4%) + AGIRC-ARRCO (~3,15% T1) + chômage (0% côté salarié depuis 2018) + APEC cadres + AGFF. Varie 11-14% selon statut cadre/non-cadre et tranche de salaire."
prelevements_sur_brut_total_taux_moyen,0.222,ratio,2024,"URSSAF + INSEE - écart brut/net moyen privé 2023",https://www.insee.fr/fr/statistiques/2381498,2024-01-01,"Total des prélèvements salariés sur le salaire brut (cotisations 12,5% + CSG/CRDS 9,7%). Implique un ratio brut/net standard de ~1,29 dans le privé."
tva_taux_moyen_consommation,0.122,ratio,2024,"INSEE - Comptes nationaux annuels (T_TES)",https://www.insee.fr/fr/statistiques/serie/010003222,2024-01-01,"Taux moyen de TVA pondéré sur la consommation finale des ménages (TVA collectée / consommation TTC). Mix entre 5,5% / 10% / 20%."
propension_consommer,0.85,ratio,2023,"INSEE - Comptes des ménages, taux de consommation moyen 2022",https://www.insee.fr/fr/statistiques/serie/010599416,2023-01-01,"Taux de consommation moyen des ménages français = 1 - taux d'épargne. Sur revenu disponible brut, environ 85% (taux d'épargne ~15% en 2022-2023). Varie fortement selon décile de revenu."
tva_effective_sur_disponible,0.104,ratio,2024,"INSEE - dérivé : tva_taux_moyen_consommation * propension_consommer",https://www.insee.fr/fr/statistiques/serie/010003222,2024-01-01,"Taux effectif de TVA sur revenu disponible : 12,2% (taux moyen consommation) × 85% (propension à consommer) = 10,4%. Approximation lissée pour la classe moyenne."
pfu_taux_total,0.30,ratio,2025,"CGI article 200 A - Prélèvement Forfaitaire Unique (Flat Tax)",https://bofip.impots.gouv.fr/bofip/11255-PGP.html,2025-01-01,"PFU global 30% sur revenus du capital (dividendes, intérêts, plus-values mobilières) = 12,8% IR + 17,2% prélèvements sociaux. Option barème IR + 17,2% PS possible si TMI < 30% (option globale annuelle)."
pfu_taux_ir,0.128,ratio,2025,"CGI article 200 A - PFU - part IR",https://bofip.impots.gouv.fr/bofip/11255-PGP.html,2025-01-01,"Part IR du PFU (12,8%). Libératoire."
pfu_taux_prelevements_sociaux,0.172,ratio,2025,"CSS article L136-7 - prélèvements sociaux sur revenus du capital",https://www.urssaf.fr/portail/home/taux-et-baremes/taux-de-cotisations/le-particulier-employeur/les-prelevements-sociaux.html,2025-01-01,"Prélèvements sociaux 17,2% sur revenus du capital = CSG 9,2% + CRDS 0,5% + prélèvement de solidarité 7,5%. Applicable sur dividendes, intérêts, plus-values."
micro_cotis_vente,0.123,ratio,2025,"URSSAF - Auto-entrepreneur - taux de cotisations 2025 (BIC vente)",https://www.autoentrepreneur.urssaf.fr/portail/accueil/sinformer-sur-le-statut/lessentiel-du-statut.html,2025-01-01,"Cotisations sociales micro-entrepreneur sur CA, activité vente de marchandises (BIC vente) : 12,3% (depuis 2024). TODO vérifier vs PDF officiel URSSAF 2025."
micro_cotis_services_bic,0.212,ratio,2025,"URSSAF - Auto-entrepreneur - taux de cotisations 2025 (BIC services)",https://www.autoentrepreneur.urssaf.fr/portail/accueil/sinformer-sur-le-statut/lessentiel-du-statut.html,2025-01-01,"Cotisations sociales micro-entrepreneur sur CA, prestations de services commerciales/artisanales (BIC services) : 21,2% (depuis 2024). TODO vérifier vs PDF officiel URSSAF 2025."
micro_cotis_services_bnc,0.211,ratio,2025,"URSSAF - Auto-entrepreneur - taux de cotisations 2025 (BNC libérales hors CIPAV)",https://www.autoentrepreneur.urssaf.fr/portail/accueil/sinformer-sur-le-statut/lessentiel-du-statut.html,2025-01-01,"Cotisations sociales micro-entrepreneur sur CA, professions libérales BNC affiliées au régime général (hors CIPAV) : 21,1% (depuis 2024). TODO vérifier vs PDF officiel URSSAF 2025."
micro_cotis_services_bnc_cipav,0.212,ratio,2025,"URSSAF - Auto-entrepreneur - taux de cotisations 2025 (BNC libérales CIPAV)",https://www.autoentrepreneur.urssaf.fr/portail/accueil/sinformer-sur-le-statut/lessentiel-du-statut.html,2025-01-01,"Cotisations sociales micro-entrepreneur sur CA, professions libérales BNC affiliées CIPAV : 21,2% (depuis 2024)."
micro_cfp_vente,0.001,ratio,2025,"URSSAF - Contribution à la formation professionnelle micro-entrepreneur",https://www.autoentrepreneur.urssaf.fr/portail/accueil/sinformer-sur-le-statut/lessentiel-du-statut.html,2025-01-01,"CFP (contribution formation professionnelle) - vente : 0,1% du CA."
micro_cfp_services_bic,0.003,ratio,2025,"URSSAF - Contribution à la formation professionnelle micro-entrepreneur",https://www.autoentrepreneur.urssaf.fr/portail/accueil/sinformer-sur-le-statut/lessentiel-du-statut.html,2025-01-01,"CFP - services BIC : 0,3% du CA."
micro_cfp_services_bnc,0.002,ratio,2025,"URSSAF - Contribution à la formation professionnelle micro-entrepreneur",https://www.autoentrepreneur.urssaf.fr/portail/accueil/sinformer-sur-le-statut/lessentiel-du-statut.html,2025-01-01,"CFP - services BNC : 0,2% du CA."
micro_abattement_vente,0.71,ratio,2025,"CGI article 50-0 - régime micro-BIC vente",https://bofip.impots.gouv.fr/bofip/2511-PGP.html,2025-01-01,"Abattement forfaitaire pour frais sur le CA micro-BIC vente : 71% (bénéfice imposable = CA × 29%). Plancher 305 €."
micro_abattement_services_bic,0.50,ratio,2025,"CGI article 50-0 - régime micro-BIC services",https://bofip.impots.gouv.fr/bofip/2511-PGP.html,2025-01-01,"Abattement forfaitaire pour frais sur le CA micro-BIC services : 50%. Plancher 305 €."
micro_abattement_services_bnc,0.34,ratio,2025,"CGI article 102 ter - régime micro-BNC",https://bofip.impots.gouv.fr/bofip/2516-PGP.html,2025-01-01,"Abattement forfaitaire pour frais sur le CA micro-BNC : 34%. Plancher 305 €."
micro_versement_liberatoire_vente,0.01,ratio,2025,"CGI article 151-0 - versement libératoire micro-entrepreneur (option)",https://bofip.impots.gouv.fr/bofip/4821-PGP.html,2025-01-01,"Versement libératoire IR micro - vente : 1% du CA. Option si RFR N-2 < seuil."
micro_versement_liberatoire_services_bic,0.017,ratio,2025,"CGI article 151-0 - versement libératoire micro-entrepreneur (option)",https://bofip.impots.gouv.fr/bofip/4821-PGP.html,2025-01-01,"Versement libératoire IR micro - services BIC : 1,7% du CA."
micro_versement_liberatoire_services_bnc,0.022,ratio,2025,"CGI article 151-0 - versement libératoire micro-entrepreneur (option)",https://bofip.impots.gouv.fr/bofip/4821-PGP.html,2025-01-01,"Versement libératoire IR micro - services BNC : 2,2% du CA."
abattement_pension_taux,0.10,ratio,2025,"CGI article 158-5-a - abattement de 10% sur les pensions",https://bofip.impots.gouv.fr/bofip/2412-PGP.html,2025-01-01,"Abattement forfaitaire de 10% sur les pensions et retraites pour le calcul de l'IR."
abattement_pension_plafond,4399,EUR,2025,"CGI article 158-5-a - plafond abattement pension par foyer (LFI 2025)",https://bofip.impots.gouv.fr/bofip/2412-PGP.html,2025-01-01,"Plafond de l'abattement de 10% sur les pensions par foyer fiscal (revenus 2024)."
abattement_pension_plancher,449,EUR,2025,"CGI article 158-5-a - plancher abattement pension par bénéficiaire (LFI 2025)",https://bofip.impots.gouv.fr/bofip/2412-PGP.html,2025-01-01,"Plancher de l'abattement de 10% sur les pensions par bénéficiaire (revenus 2024)."
