direction,thematique,libelle_complet
DFPE,Social - Petite enfance,Direction des Familles et de la Petite Enfance
DAC,Culture,Direction des Affaires Culturelles
DJS,Sport,Direction de la Jeunesse et des Sports
DGRI,International,Direction Générale des Relations Internationales
DSOL,Social - Solidarité,Direction de la Solidarité
DSP,Santé,Direction de la Santé Publique
DEVE,Environnement,Direction des Espaces Verts et de l'Environnement
DLH,Logement,Direction du Logement et de l'Habitat
DAE,Économie,Direction de l'Attractivité et de l'Emploi
DASCO,Éducation,Direction des Affaires Scolaires
