projet_id,projet_year,projet_nom,projet_montant,projet_arr,numero_marche,fournisseur_nom,fournisseur_siret,marche_objet,marche_annee,marche_montant,score,label,reason
2024_18_51_021,2024,Porte de la Chapelle - Réaménagement JO 2024,13523054.39,18,20242024S00371,ARCADIS ESG,40150379200533,MOE RÉAMÉNAGEMENT DE LA PORTE DE LA CHAPELLE 3,2024,261200.0,0.9,confirmed,overlap=['chapelle']
2024_18_51_021,2024,Porte de la Chapelle - Réaménagement JO 2024,13523054.39,18,20222022T09784,TERIDEAL,32307786700212,SA4 VOIRIE ECLAIRAGE PUBLIC FEUX TRICOLORE PORTE CHAPELLE,2023,15935704.17,0.9,confirmed,overlap=['chapelle']
2024_18_51_021,2024,Porte de la Chapelle - Réaménagement JO 2024,13523054.39,18,20232023T03034,FREYSSINET FRANCE,33405736100308,SA3 TRAVAUX OUVRAGES ART REAMENAGEMENT PORTE CHAPELLE 18EME,2023,3556491.2,0.9,confirmed,overlap=['chapelle']
2024_18_51_021,2024,Porte de la Chapelle - Réaménagement JO 2024,13523054.39,18,20222022S01527,ARCADIS ESG,40150379200533,MOE RÉAMÉNAGEMENT DE LA PORTE DE LA CHAPELLE,2022,1151853.98,0.9,confirmed,overlap=['chapelle']
2024_18_51_021,2024,Porte de la Chapelle - Réaménagement JO 2024,13523054.39,18,20222022T09890,TERIDEAL AGRIGEX ENVIRONNEMENT,32534895100030,SA3 MSAC TVX AMENAGEMENT ESPACES VERTS PORTE DE LA CHAPELLE,2022,510070.49,0.9,confirmed,overlap=['chapelle']
2024_18_51_019,2024,Piscine Belliard,13205064.34,18,20232023T06374,BOUYGUES BATIMENT ILE DE FRANCE,43390083400188,SA4.TRVX CSTRUCT PISCINE 133 BIS R BELLIARD 75018 LOT 1,2023,18660000.0,0.9,confirmed,overlap=['belliard']
2023_18_51_023,2023,Aréna 2 - Construction,11982146.31,18,20212021T03704,EHTP,43998740500057,SA3_TVX RENOVATION NŒUD CHAPELLE LOCAL TECHNIQUE ARENA 2,2021,2750249.28,0.75,probable,overlap=['arena']
2023_18_51_023,2023,Aréna 2 - Construction,11982146.31,18,20212021T09387,CIE PARISIENNE DE CHAUFFAGE URBAIN,54209732400017,ARENA 2 : TRAVAUX DE RACCORDEMENT AU RÉSEAU CPCU,2021,496455.0,0.7,probable,overlap=['arena']
2024_18_51_020,2024,Porte de la Chapelle - rue de la Chapelle - rue Marx Dormoy - Rond Point,11948780.69,18,20242024S00371,ARCADIS ESG,40150379200533,MOE RÉAMÉNAGEMENT DE LA PORTE DE LA CHAPELLE 3,2024,261200.0,0.9,confirmed,overlap=['chapelle']
2024_18_51_020,2024,Porte de la Chapelle - rue de la Chapelle - rue Marx Dormoy - Rond Point,11948780.69,18,20222022T09784,TERIDEAL,32307786700212,SA4 VOIRIE ECLAIRAGE PUBLIC FEUX TRICOLORE PORTE CHAPELLE,2023,15935704.17,0.9,confirmed,overlap=['chapelle']
2024_18_51_020,2024,Porte de la Chapelle - rue de la Chapelle - rue Marx Dormoy - Rond Point,11948780.69,18,20232023T03034,FREYSSINET FRANCE,33405736100308,SA3 TRAVAUX OUVRAGES ART REAMENAGEMENT PORTE CHAPELLE 18EME,2023,3556491.2,0.9,confirmed,overlap=['chapelle']
2024_18_51_020,2024,Porte de la Chapelle - rue de la Chapelle - rue Marx Dormoy - Rond Point,11948780.69,18,20222022S01527,ARCADIS ESG,40150379200533,MOE RÉAMÉNAGEMENT DE LA PORTE DE LA CHAPELLE,2022,1151853.98,0.9,confirmed,overlap=['chapelle']
2024_18_51_020,2024,Porte de la Chapelle - rue de la Chapelle - rue Marx Dormoy - Rond Point,11948780.69,18,20222022T09890,TERIDEAL AGRIGEX ENVIRONNEMENT,32534895100030,SA3 MSAC TVX AMENAGEMENT ESPACES VERTS PORTE DE LA CHAPELLE,2022,510070.49,0.9,confirmed,overlap=['chapelle']
2023_18_51_028,2023,Réaménagement de la Porte Chapelle (JO 2024),11290856.2,18,20222022T09784,TERIDEAL,32307786700212,SA4 VOIRIE ECLAIRAGE PUBLIC FEUX TRICOLORE PORTE CHAPELLE,2023,15935704.17,0.9,confirmed,overlap=['chapelle']
2023_18_51_028,2023,Réaménagement de la Porte Chapelle (JO 2024),11290856.2,18,20232023T03034,FREYSSINET FRANCE,33405736100308,SA3 TRAVAUX OUVRAGES ART REAMENAGEMENT PORTE CHAPELLE 18EME,2023,3556491.2,0.9,confirmed,overlap=['chapelle']
2023_18_51_028,2023,Réaménagement de la Porte Chapelle (JO 2024),11290856.2,18,20222022S01527,ARCADIS ESG,40150379200533,MOE RÉAMÉNAGEMENT DE LA PORTE DE LA CHAPELLE,2022,1151853.98,0.9,confirmed,overlap=['chapelle']
2023_18_51_028,2023,Réaménagement de la Porte Chapelle (JO 2024),11290856.2,18,20222022T09890,TERIDEAL AGRIGEX ENVIRONNEMENT,32534895100030,SA3 MSAC TVX AMENAGEMENT ESPACES VERTS PORTE DE LA CHAPELLE,2022,510070.49,0.9,confirmed,overlap=['chapelle']
