id,annee,arrondissement,chapitre_code,chapitre_libelle,nom_projet,montant,type_ap,confidence,source_page,source_pdf,date_extraction
2022_00_9_000,2022,0,,,Bibliothèque Charlotte Delbo - Refection de la cage d'escalier,60629.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_001,2022,0,,,"EE 11, rue d'Argenteuil - Modernisation cour oasis, travaux de sécurité",319237.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_002,2022,0,,,"EE 21, rue Saint-Louis en l'Ile - Modernisation de la cour OASIS",285329.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_003,2022,0,,,"EE 15, Neuve Saint-Pierre - Modernisation des menuiseries extérieures, aménagement cour Oasis",202787.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_004,2022,0,,,"EM18, Poulletier - Modernisation des sanitaires de la cour",176326.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_005,2022,0,,,"EE 6, rue de Louvois - Mise aux normes service restauration, travaux de sécurité",173133.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_006,2022,0,,,"Square Louis XIII - Aménagement des sanitaires PMR, Rénovation des sols",323650.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_007,2022,0,,,Trame verte Bourdon - Végétalisation,69208.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_008,2022,0,,,Rue du Temple - Travaux de transformation,482577.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_009,2022,0,,,Rue de Reaumur - Réfection de la Chaussée,198571.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_010,2022,0,,,Place André Malraux - Réfection de la Chaussée,103382.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_011,2022,0,,,Rue de la Verrerie - Travaux d'aménagement,135161.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_012,2022,0,,,"CC 132, rue Rambuteau - Restructuration crèche, travaux de sécurité",273350.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_013,2022,0,,,"CC 7-9, rue des Barres - Aménagement de la cour et du jardin extérieur",221283.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_014,2022,0,,,"CC 21, rue des Blancs Manteaux - Restructuration partielle",100404.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_015,2022,0,,,"CS Jean Dame - Création de sanitaire, Rénovation du parquet",117417.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_016,2022,0,,,Gymnase Saint-Merri - Désordres acoustiques au gymnase,71286.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_017,2022,0,,,"Eglise Saint Eustache - Restauration du massif d'entrée, autres travaux",2900408.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_018,2022,0,,,Eglise Saint-Louis en l'Île - Toitures et façades,1357293.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_019,2022,0,,,Eglise Saint-Gervais et Saint-Protais - Clocher et bras nord du transept,1251126.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_020,2022,0,,,Temple Des Billettes - Restauration façade principale Billettes,606858.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_021,2022,0,,,Boulevard Bourdon - Travaux végétalisation,350426.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_022,2022,0,,,Piscine Saint-Merri - Travaux de restructuration,225528.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_023,2022,0,,,"CC 26, rue Saint Roch - Travaux de restructuration",205909.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_024,2022,0,,,Participatif,2018.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_025,2022,0,,,Rénovation de la fontaine Niki de Saint Phalle,998012.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_026,2022,0,,,Agrandissement de la bibliothèque Charlotte Delbo,105529.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_027,2022,0,,,Aménagement du grenier de l'école des Tournelles,185255.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_028,2022,0,,,Paris championne du climat,298595.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_029,2022,0,,,Sauvons la fontaine Molière !,274363.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_030,2022,0,,,Renforcer les moyens d'action en faveur de la propreté,755210.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_031,2022,0,,,Pour une gestion de l'eau améliorée,123537.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_032,2022,0,,,Renforcer les actions et multiplier les lieux de solidarité,141000.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_00_9_033,2022,0,,,Végétaliser les murs et les toits des écoles Saint-Merri/Renard,129418.0,autre,0.7,9,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_05_12_000,2022,5,,,Bibliothèque Buffon - Restructuration des locaux,16659.0,autre,0.7,12,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_05_12_001,2022,5,,,"EP 14, rue Victor Cousin - Modernisation du préau",59293.0,autre,0.7,12,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_05_12_002,2022,5,,,garde corps de l'escalier S,40882.0,autre,0.7,12,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_05_12_003,2022,5,,,"du schéma directeur securité-accessibilité, Restauration de la salle du Capitant",102709.0,autre,0.7,12,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_05_12_004,2022,5,,,Rue Rollin - Réalisation d'un mur végétalisé,57369.0,autre,0.7,12,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_05_12_005,2022,5,,,Jardin Tino Rossi - Réfection partielle des sols,51178.0,autre,0.7,12,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_05_12_006,2022,5,,,"CC 11, rue Censier - Remplacement des menuiseries extérieures et de la biberonnie",152980.0,autre,0.7,12,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
2022_05_12_007,2022,5,,,"CC 4, rue Jean Calvin - Remplacement des menuiseries extérieures",149754.0,autre,0.7,12,https://cdn.paris.fr/paris/2023/07/05/09-ca-2022-investissements-localises-3owH.pdf,2026-02-06
